eta: 0:01:48  epoch: 0  step: 10  loss_c: 0.1455  loss_f: 0.2257  total_loss: 0.3712  data: 0.0176  batch: 0.2216  lr: 0.000500  max_mem: 38
eta: 0:01:29  epoch: 0  step: 20  loss_c: 0.1756  loss_f: 0.1264  total_loss: 0.3019  data: 0.0092  batch: 0.1873  lr: 0.000500  max_mem: 38
eta: 0:01:23  epoch: 0  step: 30  loss_c: 0.1609  loss_f: 0.0485  total_loss: 0.2094  data: 0.0008  batch: 0.1572  lr: 0.000500  max_mem: 38
eta: 0:01:19  epoch: 0  step: 40  loss_c: 0.1907  loss_f: 0.1903  total_loss: 0.3810  data: 0.0009  batch: 0.1598  lr: 0.000500  max_mem: 38
eta: 0:01:17  epoch: 0  step: 50  loss_c: 0.1799  loss_f: 0.2024  total_loss: 0.3823  data: 0.0008  batch: 0.1599  lr: 0.000500  max_mem: 38
eta: 0:01:14  epoch: 0  step: 60  loss_c: 0.0669  loss_f: 0.0471  total_loss: 0.1139  data: 0.0007  batch: 0.1598  lr: 0.000500  max_mem: 38
eta: 0:01:12  epoch: 0  step: 70  loss_c: 0.0490  loss_f: 0.0324  total_loss: 0.0814  data: 0.0006  batch: 0.1639  lr: 0.000500  max_mem: 38
eta: 0:01:10  epoch: 0  step: 80  loss_c: 0.0681  loss_f: 0.0712  total_loss: 0.1393  data: 0.0005  batch: 0.1688  lr: 0.000500  max_mem: 38
eta: 0:01:09  epoch: 0  step: 90  loss_c: 0.1363  loss_f: 0.1384  total_loss: 0.2747  data: 0.0005  batch: 0.1680  lr: 0.000500  max_mem: 38
eta: 0:01:08  epoch: 0  step: 100  loss_c: 0.1618  loss_f: 0.1728  total_loss: 0.3346  data: 0.0007  batch: 0.1808  lr: 0.000500  max_mem: 38
eta: 0:01:07  epoch: 0  step: 110  loss_c: 0.0945  loss_f: 0.1087  total_loss: 0.2032  data: 0.0010  batch: 0.1887  lr: 0.000500  max_mem: 38
